"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-20","0.00","81","88","73"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-21","0.06","80",,
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-22","0.04","82","88","77"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-23","0.00","83","90","77"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-24","0.00","83","91","78"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-25","0.01","83","90","78"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-26","0.00","82","89","78"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-27","0.02","81","87",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-28","0.00","83",,"77"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-02-29","0.00","83","91",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-01","0.00","80","92",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-02","0.87","78",,"75"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-03","0.16","82","89","75"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-04","0.01","83","90","76"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-05","0.01","78","85",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-06","1.17","82","89","70"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-07","0.01","81",,
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-08","0.00","82","88",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-09","0.24","80","85","74"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-10","0.01","82","88","74"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-11","0.24","80","89",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-12","0.41","78","82","76"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-13","0.00","81","87",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-14","1.55","76","79","73"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-15","0.37","81","87","73"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-16","0.00","83","90","75"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-17","0.00","83","90","78"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-18","0.00","80","89",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-19","0.93","81","86","74"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-20","0.00","82","88",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-21","0.00","82","90","77"
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-22","0.00","81","90",
"SNM00048698","SINGAPORE CHANGI INTERNATIONAL, SN","1.35","103.994","6.7","2012-03-23","0.24","82","90",
